,name,lat,lon,population,state
0,New York,40.6943,-73.9249,18908608,New York
1,Los Angeles,34.1141,-118.4068,11922389,California
2,Chicago,41.8375,-87.6866,8497759,Illinois
3,Miami,25.784,-80.2101,6080145,Florida
4,Houston,29.786,-95.3885,5970127,Texas
5,Dallas,32.7935,-96.7667,5830932,Texas
6,Philadelphia,40.0077,-75.1339,5683533,Pennsylvania
7,Atlanta,33.7628,-84.422,5180179,Georgia
8,Washington,38.9047,-77.0163,5116378,District of Columbia
9,Boston,42.3188,-71.0852,4328315,Massachusetts
10,Phoenix,33.5722,-112.0892,4064275,Arizona
11,Detroit,42.3834,-83.1024,3725908,Michigan
12,Seattle,47.6211,-122.3244,3561397,Washington
13,San Francisco,37.7558,-122.4449,3364979,California
14,San Diego,32.8313,-117.1222,3046560,California
15,Minneapolis,44.9635,-93.2678,2892569,Minnesota
16,Tampa,27.9945,-82.4447,2861173,Florida
17,Brooklyn,40.6501,-73.9496,2736074,New York
18,Denver,39.762,-104.8758,2687458,Colorado
19,Queens,40.7498,-73.7976,2405464,New York
20,Riverside,33.9381,-117.3949,2332836,California
21,Las Vegas,36.2333,-115.2654,2248047,Nevada
22,Baltimore,39.3051,-76.6144,2196524,Maryland
23,St. Louis,38.6359,-90.2451,2130881,Missouri
24,Portland,45.5371,-122.65,2095808,Oregon
25,San Antonio,29.4632,-98.5238,2058444,Texas
26,Sacramento,38.5677,-121.4685,1957738,California
27,Austin,30.3005,-97.7522,1905945,Texas
28,Orlando,28.4773,-81.337,1882705,Florida
29,San Juan,18.3985,-66.061,1814587,Puerto Rico
30,San Jose,37.3012,-121.848,1771413,California
31,Pittsburgh,40.4397,-79.9763,1749091,Pennsylvania
32,Indianapolis,39.7771,-86.1458,1729849,Indiana
33,Manhattan,40.7834,-73.9662,1694263,New York
34,Cincinnati,39.1413,-84.506,1692702,Ohio
35,Kansas City,39.1238,-94.5541,1689556,Missouri
36,Cleveland,41.4764,-81.6805,1680247,Ohio
37,Columbus,39.9862,-82.9855,1572546,Ohio
38,Bronx,40.8501,-73.8662,1472654,New York
39,Virginia Beach,36.7335,-76.0435,1443020,Virginia
40,Charlotte,35.2083,-80.8303,1427444,North Carolina
41,Milwaukee,43.0642,-87.9675,1290940,Wisconsin
42,Providence,41.823,-71.4187,1290271,Rhode Island
43,Jacksonville,30.3322,-81.6749,1288298,Florida
44,Nashville,36.1715,-86.7842,1177657,Tennessee
45,Salt Lake City,40.7776,-111.9311,1173879,Utah
46,Raleigh,35.8324,-78.6429,1163152,North Carolina
47,Richmond,37.5295,-77.4756,1073223,Virginia
48,Memphis,35.1087,-89.9663,1037998,Tennessee
49,Oklahoma City,35.4676,-97.5136,998806,Oklahoma
50,Hartford,41.7661,-72.6834,974684,Connecticut
51,Louisville,38.1663,-85.6485,963812,Kentucky
52,Buffalo,42.9018,-78.8487,944589,New York
53,New Orleans,30.0687,-89.9288,932759,Louisiana
54,Fort Worth,32.7817,-97.3474,908469,Texas
55,Bridgeport,41.1918,-73.1954,908251,Connecticut
56,Tucson,32.1541,-110.8787,878320,Arizona
57,El Paso,31.8476,-106.43,865270,Texas
58,Omaha,41.2627,-96.0529,821345,Nebraska
59,McAllen,26.2252,-98.2467,797341,Texas
60,Birmingham,33.5279,-86.7971,782111,Alabama
61,Albuquerque,35.1054,-106.6465,769986,New Mexico
62,Tulsa,36.1283,-95.9042,731743,Oklahoma
63,Fresno,36.783,-119.7939,725276,California
64,Charleston,32.8168,-79.9687,706884,South Carolina
65,Rochester,43.168,-77.6162,699921,New York
66,Dayton,39.7805,-84.2003,668825,Ohio
67,Cape Coral,26.6443,-81.9957,654405,Florida
68,Mission Viejo,33.6096,-117.6551,642211,California
69,Colorado Springs,38.8674,-104.7605,638194,Colorado
70,Baton Rouge,30.442,-91.1311,635671,Louisiana
71,Allentown,40.5961,-75.4756,627863,Pennsylvania
72,Ogden,41.2279,-111.9682,622918,Utah
73,Provo,40.2457,-111.6457,619218,Utah
74,Knoxville,35.9692,-83.9496,615829,Tennessee
75,Grand Rapids,42.9619,-85.6562,609023,Michigan
76,Columbia,34.0378,-80.9036,604065,South Carolina
77,Albany,42.6664,-73.7987,590694,New York
78,Bakersfield,35.3529,-119.0359,571992,California
79,New Haven,41.3113,-72.9246,565572,Connecticut
80,Des Moines,41.5725,-93.6105,548926,Iowa
81,Akron,41.0798,-81.5219,541945,Ohio
82,Palm Bay,27.9631,-80.6593,534348,Florida
83,Concord,37.9722,-122.0016,531175,California
84,Wichita,37.6895,-97.3443,509003,Kansas
85,Harrisburg,40.2752,-76.8843,498329,Pennsylvania
86,Mesa,33.4015,-111.7178,497752,Arizona
87,Staten Island,40.5834,-74.1496,495747,New York
88,Toledo,41.6638,-83.5827,493302,Ohio
89,Worcester,42.2705,-71.8079,486486,Massachusetts
90,Long Beach,33.7977,-118.167,466565,California
91,Port St. Lucie,27.2796,-80.3884,462047,Florida
92,Little Rock,34.7256,-92.3577,459409,Arkansas
93,Reno,39.5497,-119.8483,457702,Nevada
94,Spokane,47.6671,-117.433,456219,Washington
95,Madison,43.0822,-89.393,451652,Wisconsin
96,Boise,43.6005,-116.2308,449776,Idaho
97,Bonita Springs,26.3558,-81.7859,449527,Florida
98,Denton,33.2175,-97.1418,438492,Texas
99,Springfield,42.1155,-72.5395,437752,Massachusetts
100,Oakland,37.7904,-122.2166,437548,California
101,Augusta,33.3645,-82.0708,437257,Georgia
102,Kissimmee,28.3041,-81.4169,431618,Florida
103,Winston-Salem,36.1029,-80.261,427706,North Carolina
104,Stockton,37.9765,-121.3109,413637,California
105,Syracuse,43.0407,-76.1437,410732,New York
106,Chattanooga,35.066,-85.2481,406849,Tennessee
107,Lancaster,40.042,-76.3012,402476,Pennsylvania
108,Greenville,34.8354,-82.3646,401443,South Carolina
109,Durham,35.9792,-78.9022,399616,North Carolina
110,Pensacola,30.4413,-87.1911,398813,Florida
111,Fayetteville,36.0714,-94.1661,394650,Arkansas
112,Arlington,32.6998,-97.125,392304,Texas
113,Aurora,39.7083,-104.7237,383496,Colorado
114,Oxnard,34.1964,-119.1815,369962,California
115,Indio,33.7346,-116.2346,369654,California
116,Scranton,41.4044,-75.6649,366334,Pennsylvania
117,Victorville,34.5277,-117.3536,364015,California
118,Trenton,40.2237,-74.7641,362179,New Jersey
119,Modesto,37.6375,-121.0028,354183,California
120,Honolulu,21.3294,-157.846,351554,Hawaii
121,Huntsville,34.6981,-86.6412,349482,Alabama
122,Anaheim,33.839,-117.8574,348204,California
123,Greensboro,36.0956,-79.8271,347130,North Carolina
124,Corpus Christi,27.7254,-97.3767,337230,Texas
125,Fort Wayne,41.0888,-85.1436,337163,Indiana
126,Fort Collins,40.5477,-105.0656,335398,Colorado
127,Jackson,32.3157,-90.2125,335171,Mississippi
128,Myrtle Beach,33.7094,-78.8844,332181,South Carolina
130,Antioch,37.9787,-121.796,327216,California
131,Lansing,42.7142,-84.5601,322561,Michigan
132,Lexington,38.0423,-84.4587,321354,Kentucky
133,Mobile,30.6782,-88.1162,320855,Alabama
134,Youngstown,41.0993,-80.6463,319065,Ohio
135,Savannah,32.0286,-81.1821,316050,Georgia
136,Poughkeepsie,41.695,-73.9211,314159,New York
137,Santa Ana,33.7367,-117.8819,313818,California
138,Henderson,36.0133,-115.0381,311250,Nevada
139,St. Paul,44.9478,-93.1039,309751,Minnesota
140,Ann Arbor,42.2759,-83.731,308983,Michigan
141,Newark,40.7245,-74.1725,306247,New Jersey
142,Irvine,33.6772,-117.7738,297868,California
143,Santa Rosa,38.4458,-122.7067,296180,California
144,Canton,40.8078,-81.3676,294047,Ohio
145,Asheville,35.5707,-82.5537,294013,North Carolina
146,Flint,43.0236,-83.6921,293893,Michigan
147,Winter Haven,28.0118,-81.7014,293093,Florida
148,Anchorage,61.1508,-149.1091,292545,Alaska
149,Lincoln,40.8099,-96.6784,290508,Nebraska
151,Jersey City,40.7184,-74.0686,287146,New Jersey
153,Shreveport,32.4653,-93.7955,283536,Louisiana
154,Plano,33.0502,-96.7486,282181,Texas
155,Davenport,41.5565,-90.6053,281333,Iowa
156,Lubbock,33.5657,-101.8879,280890,Texas
157,Lakeland,28.0557,-81.9545,280346,Florida
158,South Bend,41.6767,-86.2696,278061,Indiana
159,Chula Vista,32.6281,-117.0144,274818,California
160,Rockford,42.2596,-89.064,273237,Illinois
161,Reading,40.34,-75.9267,272712,Pennsylvania
162,Chandler,33.2825,-111.8514,272439,Arizona
163,Eugene,44.0564,-123.1174,270990,Oregon
164,Wilmington,34.2099,-77.8866,268625,North Carolina
165,Santa Clarita,34.4175,-118.4964,268273,California
166,Salem,44.9233,-123.0244,266420,Oregon
167,Killeen,31.0753,-97.7297,265921,Texas
168,Round Lake Beach,42.3791,-88.0811,264451,Illinois
170,Gilbert,33.31,-111.7463,262249,Arizona
