name,lat,lon,population
New York,40.6943,-73.9249,18908608
Los Angeles,34.1141,-118.4068,11922389
Chicago,41.8375,-87.6866,8497759
Miami,25.784,-80.2101,6080145
Houston,29.786,-95.3885,5970127
Dallas,32.7935,-96.7667,5830932
Philadelphia,40.0077,-75.1339,5683533
Atlanta,33.7628,-84.422,5180179
Washington,38.9047,-77.0163,5116378
Boston,42.3188,-71.0852,4328315
Phoenix,33.5722,-112.0892,4064275
Detroit,42.3834,-83.1024,3725908
Seattle,47.6211,-122.3244,3561397
San Francisco,37.7558,-122.4449,3364979
San Diego,32.8313,-117.1222,3046560
Minneapolis,44.9635,-93.2678,2892569
Tampa,27.9945,-82.4447,2861173
Brooklyn,40.6501,-73.9496,2736074
Denver,39.762,-104.8758,2687458
Queens,40.7498,-73.7976,2405464
Riverside,33.9381,-117.3949,2332836
Las Vegas,36.2333,-115.2654,2248047
Baltimore,39.3051,-76.6144,2196524
St. Louis,38.6359,-90.2451,2130881
Portland,45.5371,-122.65,2095808
San Antonio,29.4632,-98.5238,2058444
Sacramento,38.5677,-121.4685,1957738
Austin,30.3005,-97.7522,1905945
Orlando,28.4773,-81.337,1882705
San Juan,18.3985,-66.061,1814587
San Jose,37.3012,-121.848,1771413
Pittsburgh,40.4397,-79.9763,1749091
Indianapolis,39.7771,-86.1458,1729849
Manhattan,40.7834,-73.9662,1694263
Cincinnati,39.1413,-84.506,1692702
Kansas City,39.1238,-94.5541,1689556
Cleveland,41.4764,-81.6805,1680247
Columbus,39.9862,-82.9855,1572546
Bronx,40.8501,-73.8662,1472654
Virginia Beach,36.7335,-76.0435,1443020
Charlotte,35.2083,-80.8303,1427444
Milwaukee,43.0642,-87.9675,1290940
Providence,41.823,-71.4187,1290271
Jacksonville,30.3322,-81.6749,1288298
Nashville,36.1715,-86.7842,1177657
Salt Lake City,40.7776,-111.9311,1173879
Raleigh,35.8324,-78.6429,1163152
Richmond,37.5295,-77.4756,1073223
Memphis,35.1087,-89.9663,1037998
Oklahoma City,35.4676,-97.5136,998806
Hartford,41.7661,-72.6834,974684
Louisville,38.1663,-85.6485,963812
Buffalo,42.9018,-78.8487,944589
New Orleans,30.0687,-89.9288,932759
Fort Worth,32.7817,-97.3474,908469
Bridgeport,41.1918,-73.1954,908251
Tucson,32.1541,-110.8787,878320
El Paso,31.8476,-106.43,865270
Omaha,41.2627,-96.0529,821345
McAllen,26.2252,-98.2467,797341
Birmingham,33.5279,-86.7971,782111
Albuquerque,35.1054,-106.6465,769986
Tulsa,36.1283,-95.9042,731743
Fresno,36.783,-119.7939,725276
Charleston,32.8168,-79.9687,706884
Rochester,43.168,-77.6162,699921
Dayton,39.7805,-84.2003,668825
Cape Coral,26.6443,-81.9957,654405
Mission Viejo,33.6096,-117.6551,642211
Colorado Springs,38.8674,-104.7605,638194
Baton Rouge,30.442,-91.1311,635671
Allentown,40.5961,-75.4756,627863
Ogden,41.2279,-111.9682,622918
Provo,40.2457,-111.6457,619218
Knoxville,35.9692,-83.9496,615829
Grand Rapids,42.9619,-85.6562,609023
Columbia,34.0378,-80.9036,604065
Albany,42.6664,-73.7987,590694
Bakersfield,35.3529,-119.0359,571992
New Haven,41.3113,-72.9246,565572
Des Moines,41.5725,-93.6105,548926
Akron,41.0798,-81.5219,541945
Palm Bay,27.9631,-80.6593,534348
Concord,37.9722,-122.0016,531175
Wichita,37.6895,-97.3443,509003
Harrisburg,40.2752,-76.8843,498329
Mesa,33.4015,-111.7178,497752
Staten Island,40.5834,-74.1496,495747
Toledo,41.6638,-83.5827,493302
Worcester,42.2705,-71.8079,486486
Long Beach,33.7977,-118.167,466565
Port St. Lucie,27.2796,-80.3884,462047
Little Rock,34.7256,-92.3577,459409
Reno,39.5497,-119.8483,457702
Spokane,47.6671,-117.433,456219
Madison,43.0822,-89.393,451652
Boise,43.6005,-116.2308,449776
Bonita Springs,26.3558,-81.7859,449527
Denton,33.2175,-97.1418,438492
Springfield,42.1155,-72.5395,437752
Oakland,37.7904,-122.2166,437548
Augusta,33.3645,-82.0708,437257
Kissimmee,28.3041,-81.4169,431618
Winston-Salem,36.1029,-80.261,427706
Stockton,37.9765,-121.3109,413637
Syracuse,43.0407,-76.1437,410732
Chattanooga,35.066,-85.2481,406849
Lancaster,40.042,-76.3012,402476
Greenville,34.8354,-82.3646,401443
Durham,35.9792,-78.9022,399616
Pensacola,30.4413,-87.1911,398813
Fayetteville,36.0714,-94.1661,394650
Arlington,32.6998,-97.125,392304
Aurora,39.7083,-104.7237,383496
Oxnard,34.1964,-119.1815,369962
Indio,33.7346,-116.2346,369654
Scranton,41.4044,-75.6649,366334
Victorville,34.5277,-117.3536,364015
Trenton,40.2237,-74.7641,362179
Modesto,37.6375,-121.0028,354183
Honolulu,21.3294,-157.846,351554
Huntsville,34.6981,-86.6412,349482
Anaheim,33.839,-117.8574,348204
Greensboro,36.0956,-79.8271,347130
Corpus Christi,27.7254,-97.3767,337230
Fort Wayne,41.0888,-85.1436,337163
Fort Collins,40.5477,-105.0656,335398
Jackson,32.3157,-90.2125,335171
Myrtle Beach,33.7094,-78.8844,332181
Fayetteville,35.085,-78.9772,328804
Antioch,37.9787,-121.796,327216
Lansing,42.7142,-84.5601,322561
Lexington,38.0423,-84.4587,321354
Mobile,30.6782,-88.1162,320855
Youngstown,41.0993,-80.6463,319065
Savannah,32.0286,-81.1821,316050
Poughkeepsie,41.695,-73.9211,314159
Santa Ana,33.7367,-117.8819,313818
Henderson,36.0133,-115.0381,311250
St. Paul,44.9478,-93.1039,309751
Ann Arbor,42.2759,-83.731,308983
Newark,40.7245,-74.1725,306247
Irvine,33.6772,-117.7738,297868
Santa Rosa,38.4458,-122.7067,296180
Canton,40.8078,-81.3676,294047
Asheville,35.5707,-82.5537,294013
Flint,43.0236,-83.6921,293893
Winter Haven,28.0118,-81.7014,293093
Anchorage,61.1508,-149.1091,292545
Lincoln,40.8099,-96.6784,290508
Concord,35.3933,-80.6369,288783
Jersey City,40.7184,-74.0686,287146
Springfield,37.1943,-93.2916,286280
Shreveport,32.4653,-93.7955,283536
Plano,33.0502,-96.7486,282181
